LICENCE_NO,DEVICE_NAME,MODEL_IDENTIFIER,COMPANY_NAME,DEVICE_CLASS,LICENCE_STATUS,UDI_DI
112045,Aquilion Lightning CT Scanner,TSX-401C,Canon Medical Systems Canada,III,ACTIVE,00819320030011
98441,Vivid E95 Ultrasound System,GE-V95-2024,GE HealthCare Canada Inc,II,ACTIVE,00819320030028
67213,IntelliVue MX800 Patient Monitor,MX800,Philips Healthcare Canada,II,ACTIVE,00819320030035
45982,SpO2 Sensor Reusable Adult,SENSORADULT-R,Masimo Canada ULC,I,ACTIVE,00819320030042
78104,da Vinci Xi Surgical System,DV-XI-2024,Intuitive Surgical Canada Inc,IV,ACTIVE,00819320030059
33567,Surgical Suction Tubing Set,SST-100-DISP,Cardinal Health Canada,I,ACTIVE,00819320030066
89234,LIFEPAK 15 Defibrillator,LP15-V4,Stryker Canada ULC,III,ACTIVE,00819320030073
55178,Bone Densitometer Hologic Discovery,DSCY-W-9,Hologic Canada Inc,II,ACTIVE,00819320030080
72390,Insulin Pen 3mL Disposable,IPEN-3D,Novo Nordisk Canada,I,SUSPENDED,00819320030097
44210,Echocardiography Probe S5-1,S51-PROBE,Philips Healthcare Canada,II,ACTIVE,00819320030103
91056,Surgical Stapler Reusable,SS-RBL-90,Medtronic of Canada Ltd,II,ACTIVE,00819320030110
38771,Disposable Vinyl Exam Gloves,VEG-100-M,Cardinal Health Canada,I,ACTIVE,00819320030127
60423,Hemodialysis Machine 5008,5008-CMS,Fresenius Medical Care Canada,III,ACTIVE,00819320030134
22198,IV Catheter 18G,IV-18G-SAFE,Becton Dickinson Canada Inc,I,ACTIVE,00819320030141
85667,MRI 1.5T Optima MR450w,MR450W-15,GE HealthCare Canada Inc,IV,ACTIVE,00819320030158
